angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(96, 189, 230, 230)",0.0,0.02,0.0,0.9,0.07,0.0
0.01,"(96, 190, 229, 229)",0.0,0.02,0.0,0.89,0.07,0.0
0.01,"(96, 191, 228, 228)",0.0,0.01,0.0,0.92,0.05,0.0
0.01,"(96, 192, 228, 228)",0.0,0.02,0.0,0.93,0.05,0.0
0.01,"(96, 191, 229, 229)",0.0,0.02,0.0,0.92,0.05,0.0
0.01,"(96, 192, 228, 228)",0.0,0.01,0.0,0.94,0.04,0.0
0.01,"(95, 192, 229, 229)",0.0,0.02,0.0,0.94,0.03,0.0
0.01,"(95, 192, 228, 228)",0.0,0.01,0.0,0.94,0.04,0.0
0.01,"(94, 191, 230, 230)",0.0,0.02,0.0,0.92,0.05,0.0
0.0,"(94, 190, 229, 229)",0.0,0.01,0.0,0.95,0.03,0.0
0.01,"(95, 192, 228, 228)",0.0,0.01,0.0,0.93,0.05,0.0
0.0,"(95, 192, 227, 227)",0.0,0.01,0.0,0.93,0.05,0.0
0.01,"(94, 199, 217, 217)",0.0,0.02,0.0,0.95,0.02,0.0
0.01,"(95, 194, 226, 226)",0.0,0.01,0.0,0.92,0.06,0.0
0.01,"(95, 193, 227, 227)",0.0,0.01,0.0,0.95,0.03,0.0
0.01,"(95, 193, 228, 228)",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"(92, 197, 220, 220)",0.0,0.02,0.0,0.96,0.01,0.0
0.01,"(92, 197, 220, 220)",0.0,0.02,0.0,0.96,0.01,0.0
0.01,"(92, 197, 220, 220)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(94, 192, 230, 230)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(93, 191, 232, 232)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(93, 192, 231, 231)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(92, 198, 220, 220)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(95, 194, 230, 230)",0.0,0.01,0.0,0.97,0.01,0.0
0.01,"(93, 192, 232, 232)",0.0,0.0,0.0,0.98,0.0,0.0
0.01,"(93, 192, 232, 232)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(94, 193, 231, 231)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(94, 193, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(94, 193, 232, 232)",0.0,0.0,0.0,0.98,0.01,0.0
0.0,"(93, 193, 232, 232)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 193, 233, 233)",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"(92, 193, 233, 233)",0.0,0.01,0.0,0.97,0.01,0.0
0.0,"(92, 192, 233, 233)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 193, 231, 231)",0.0,0.0,0.0,0.99,0.0,0.0
0.0,"(93, 194, 230, 230)",0.0,0.01,0.0,0.98,0.01,0.0
0.0,"(93, 195, 228, 228)",0.0,0.0,0.0,0.97,0.02,0.0
